ArticleTitle,Anchors
Kevin Bacon,"Bruce Campbell, Billy Bob Thornton, Apollo 13"
Apollo 13,"Astronaut, Apollo 11, Kevin Bacon, Apollo 8"
Apollo 11,"Astronaut, Apollo 13, Apollo 8, August 13"
Apollo 8,"Astronaut, Apollo 11, Apollo 13"
August 13,"Apollo 11"
Astronaut,"Apollo 11, Apollo 8, Apollo 13"
Billy Bob Thornton,"Anthony Hopkins, August 4, Kevin Bacon, Arkansas"
Arkansas,"Andrew Jackson, Alabama, Alaska, Billy Bob Thornton"
Alabama,"Arkansas"
Alaska,"Arkansas"
Andrew Jackson,"Arkansas"
Anthony Hopkins,"Billy Bob Thornton, Albert Brooks, Alfred Hitchcock"
Alfred Hitchcock,"Anthony Hopkins"
Albert Brooks,"Anthony Hopkins"
August 4,"April 6, April, Billy Bob Thornton, August"
April,"August 4"
August,"August 4"
April 6,"August 4"
Bruce Campbell,"The Evil Dead, Kevin Bacon, Army of Darkness"
Army of Darkness,"The Evil Dead, Bruce Campbell"
The Evil Dead,"Bruce Campbell, Comedy film, Army of Darkness"
Comedy film,"The Evil Dead"
