Apollo 13
Billy Bob Thornton
Bruce Campbell
Courtney Love
Dubbing (filmmaking)
Empire State Building
Erdős number
Frasier
Jack Lemmon
July 8
Jerry Lewis
Kyle MacLachlan
Russell Crowe
Sarah Michelle Gellar
1990s
1980s
1958
Denise Richards
JFK (film)
Distance
Alan Rickman
Jennifer Aniston
Al Pacino
Dustin Hoffman
Sharon Stone
Clint Eastwood
Tom Hanks
Albert Finney
Paul Newman
Leonardo DiCaprio
Val Kilmer
Jeff Bridges
Ron Howard
Michael Caine
Bon Jovi
Jon Bon Jovi
Meryl Streep
Ebertfest
Lewes
Christopher Reeve
Animal House
Michael Douglas
Neve Campbell
Mickey Rooney
Paul Shaffer
"Nome, Alaska"
"Sharon, Connecticut"
"Joliet, Illinois"
